Date,Open,High,Low,Close,Adj Close,Volume
2022-10-07,17287.199219,17337.349609,17216.949219,17314.650391,17314.650391,216300
2022-10-10,17094.349609,17280.150391,17064.699219,17241.000000,17241.000000,234000
2022-10-11,17256.050781,17261.800781,16950.300781,16983.550781,16983.550781,282600
2022-10-12,17025.550781,17142.349609,16960.050781,17123.599609,17123.599609,256000
2022-10-13,17087.349609,17112.349609,16956.949219,17014.349609,17014.349609,266400
2022-10-14,17322.300781,17348.550781,17169.750000,17185.699219,17185.699219,227000
2022-10-17,17144.800781,17328.550781,17098.550781,17311.800781,17311.800781,212200
2022-10-18,17438.750000,17527.800781,17434.050781,17486.949219,17486.949219,239500
2022-10-19,17568.150391,17607.599609,17472.849609,17512.250000,17512.250000,210500
2022-10-20,17423.099609,17584.150391,17421.000000,17563.949219,17563.949219,249600
2022-10-21,17622.849609,17670.150391,17520.750000,17576.300781,17576.300781,277700
2022-10-24,17736.349609,17777.550781,17707.400391,17730.750000,17730.750000,45000
2022-10-25,17808.300781,17811.500000,17637.000000,17656.349609,17656.349609,251400
2022-10-27,17771.400391,17783.900391,17654.500000,17736.949219,17736.949219,324600
2022-10-28,17756.400391,17838.900391,17723.699219,17786.800781,17786.800781,250000
2022-10-31,17910.199219,18022.800781,17899.900391,18012.199219,18012.199219,227200
2022-11-01,18130.699219,18175.800781,18060.150391,18145.400391,18145.400391,349900
2022-11-02,18177.900391,18178.750000,18048.650391,18082.849609,18082.849609,270900
2022-11-03,17968.349609,18106.300781,17959.199219,18052.699219,18052.699219,213000
2022-11-04,18053.400391,18135.099609,18017.150391,18117.150391,18117.150391,267900
2022-11-07,18211.750000,18255.500000,18064.750000,18202.800781,18202.800781,314800
2022-11-09,18288.250000,18296.400391,18117.500000,18157.000000,18157.000000,307200
2022-11-10,18044.349609,18103.099609,17969.400391,18028.199219,18028.199219,256500
2022-11-11,18272.349609,18362.300781,18259.349609,18349.699219,18349.699219,378500
2022-11-14,18376.400391,18399.449219,18311.400391,18329.150391,18329.150391,301400
2022-11-15,18362.750000,18427.949219,18282.000000,18403.400391,18403.400391,250900
2022-11-16,18398.250000,18442.150391,18344.150391,18409.650391,18409.650391,219300
2022-11-17,18358.699219,18417.599609,18312.949219,18343.900391,18343.900391,200500
